"filename", "language", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\App.jsx", "JavaScript JSX", 24, 0, 0, 0, 6, 30
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\assets\react.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\fontstyles.css", "CSS", 0, 90, 0, 1, 18, 109
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\main.jsx", "JavaScript JSX", 9, 0, 0, 0, 2, 11
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\AboutUs.css", "CSS", 0, 21, 0, 0, 12, 33
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\AboutUs.jsx", "JavaScript JSX", 23, 0, 0, 0, 5, 28
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\Home.css", "CSS", 0, 12, 0, 0, 4, 16
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\Home.jsx", "JavaScript JSX", 23, 0, 0, 0, 4, 27
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\NavigationBar.css", "CSS", 0, 19, 0, 2, 10, 31
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\NavigationBar.jsx", "JavaScript JSX", 23, 0, 0, 2, 4, 29
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\Team.css", "CSS", 0, 30, 0, 0, 7, 37
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\Team.jsx", "JavaScript JSX", 55, 0, 0, 0, 5, 60
"Total", "-", 157, 172, 1, 5, 77, 412
