"filename", "language", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\App.jsx", "JavaScript JSX", 0, 23, 0, 8, 31
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\Calendar.css", "CSS", 9, 0, 0, 2, 11
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\Calendar.jsx", "JavaScript JSX", 0, 56, 4, 15, 75
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\fontstyles.css", "CSS", 90, 0, 1, 18, 109
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\index.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\main.jsx", "JavaScript JSX", 0, 9, 0, 4, 13
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\AboutUs.css", "CSS", 31, 0, 1, 16, 48
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\AboutUs.jsx", "JavaScript JSX", 0, 40, 0, 5, 45
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\Home.css", "CSS", 27, 0, 0, 8, 35
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\Home.jsx", "JavaScript JSX", 0, 34, 0, 5, 39
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\NavigationBar.css", "CSS", 19, 0, 2, 10, 31
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\NavigationBar.jsx", "JavaScript JSX", 0, 23, 2, 4, 29
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\Team.css", "CSS", 33, 0, 0, 9, 42
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\Team.jsx", "JavaScript JSX", 0, 61, 0, 6, 67
"c:\Users\skyan\Desktop\Engineering4Generations Website\src\pages\fontstyles.css", "CSS", 90, 0, 1, 18, 109
"Total", "-", 299, 246, 11, 129, 685
